Date&Time,Temperature(C),Huminity(%),,,,,
2022/6/15 11:30,25.5,73.1,,,,,
2022/6/15 11:35,25.5,72.9,,,,,
2022/6/15 11:40,25.6,73,,,,,
2022/6/15 11:45,25.5,73,,,,,
2022/6/15 11:50,25.6,73.1,,,,,
2022/6/15 11:55,25.5,73.1,,,,,
2022/6/15 12:00,25.7,73.1,,,,,
2022/6/15 12:05,25.7,73,,,,,
2022/6/15 12:12,25.6,73.1,,,,,
2022/6/15 12:17,25.7,73.2,,,,,
2022/6/15 12:22,25.6,73.4,,,,,
2022/6/15 12:27,25.6,73.4,,,,,
2022/6/15 12:32,25.5,73.4,,,,,
2022/6/15 12:37,25.6,73.5,,,,,
2022/6/15 12:42,25.6,73.5,,,,,
2022/6/15 12:47,25.7,73.5,,,,,
2022/6/15 12:52,25.6,73.7,,,,,
2022/6/15 12:57,25.6,73.6,,,,,
2022/6/15 13:02,25.6,73.6,,,,,
2022/6/15 13:07,25.6,73.6,,,,,
2022/6/15 13:12,25.6,73.5,,,,,
2022/6/15 13:17,25.5,73.7,,,,,
2022/6/15 13:22,25.7,73.6,,,,,
2022/6/15 13:27,25.7,73.7,,,,,
2022/6/15 13:32,25.7,73.7,,,,,
2022/6/15 13:37,25.6,73.7,,,,,
2022/6/15 13:42,25.5,73.6,,,,,
2022/6/15 13:47,25.6,73.7,,,,,
2022/6/15 13:52,25.5,73.8,,,,,
2022/6/15 13:57,25.6,73.7,,,,,
2022/6/15 14:02,25.5,73.7,,,,,
2022/6/15 14:07,25.6,73.7,,,,,
2022/6/15 14:12,25.7,73.6,,,,,
2022/6/15 14:17,25.6,73.6,,,,,
2022/6/15 14:22,25.7,73.7,,,,,
2022/6/15 14:27,25.6,73.6,,,,,
2022/6/15 14:32,25.6,73.5,,,,,
2022/6/15 14:37,25.7,73.6,,,,,
2022/6/15 14:42,25.6,73.5,,,,,
2022/6/15 14:47,25.7,73.5,,,,,
2022/6/15 14:52,25.7,73.5,,,,,
2022/6/15 14:57,25.7,73.4,,,,,
2022/6/15 15:02,25.7,73.5,,,,,
2022/6/16 15:36,25.8,74.5,,,,,
2022/6/16 15:41,25.9,74.5,,,,,
2022/6/16 15:46,25.8,74.1,,,,,
2022/6/16 15:51,25.6,74.5,,,,,
2022/6/16 15:56,25.7,74,,,,,
2022/6/16 16:01,25.7,74,,,,,
2022/6/16 16:06,25.7,74,,,,,
2022/6/16 16:11,25.6,74.3,,,,,
2022/6/16 16:16,25.7,73.5,,,,,
2022/6/16 16:21,25.6,73.3,,,,,
2022/6/16 16:26,25.4,73.5,,,,,
2022/6/16 16:31,25.6,73.1,,,,,
2022/6/16 16:36,25.5,72.6,,,,,
2022/6/16 16:41,25.4,71.7,,,,,
2022/6/16 16:46,25.4,72.9,,,,,
2022/6/16 16:51,25.5,72.2,,,,,
2022/6/16 16:56,25.3,70.9,,,,,
2022/6/16 17:01,25.3,70.3,,,,,
2022/6/16 17:06,25.2,70,,,,,
2022/6/16 17:11,25,68.9,,,,,
2022/6/16 17:16,25.4,70.5,,,,,
2022/6/16 17:21,25.3,69,,,,,
2022/6/16 17:26,25.5,69.6,,,,,
2022/6/16 17:31,25.6,70.3,,,,,
2022/6/16 17:36,25.5,67.8,,,,,
2022/6/16 17:41,25.3,67.5,,,,,
2022/6/16 17:46,25.4,68.6,,,,,
2022/6/16 17:51,25.5,69.5,,,,,
2022/6/16 17:56,25.5,66.2,,,,,
2022/6/16 18:01,25.6,69.3,,,,,
2022/6/16 18:06,25.7,69.5,,,,,
2022/6/16 18:11,25.7,68.7,,,,,
2022/6/16 18:16,25.6,69.2,,,,,
2022/6/16 18:21,25.5,67.3,,,,,
2022/6/16 18:26,25.5,67.8,,,,,
2022/6/16 18:31,25.5,68.6,,,,,
2022/6/16 18:36,25.3,64.4,,,,,
2022/6/16 18:41,25.2,63.1,,,,,
2022/6/16 18:46,24.8,61,,,,,
2022/6/16 18:51,24.8,61.3,,,,,
2022/6/16 18:56,24.5,59.7,,,,,
2022/6/16 19:01,24.6,60.4,,,,,
2022/6/16 19:06,24.5,59.8,,,,,
2022/6/16 19:11,24.5,60.6,,,,,
2022/6/16 19:16,24.5,60.6,,,,,
2022/6/16 19:21,24.4,59.8,,,,,
2022/6/16 19:26,24.4,60,,,,,
2022/6/16 19:31,24.2,59.4,,,,,
2022/6/16 19:36,24,58.4,,,,,
2022/6/16 19:41,24,59.9,,,,,
2022/6/16 19:46,23.9,59.5,,,,,
2022/6/16 19:51,24,59.1,,,,,
2022/6/16 19:56,24,59.4,,,,,
2022/6/16 20:01,24,59.2,,,,,
2022/6/16 20:06,23.9,58.5,,,,,
2022/6/16 20:11,23.9,58.6,,,,,
2022/6/16 20:16,24,58.5,,,,,
2022/6/16 20:21,24,58,,,,,
2022/6/16 20:26,24,57.8,,,,,
2022/6/16 20:31,24,57.6,,,,,
2022/6/16 20:36,24,58,,,,,
2022/6/16 20:41,24,57.8,,,,,
2022/6/16 20:46,23.7,57.6,,,,,
2022/6/16 20:51,23.9,58.5,,,,,
2022/6/16 20:56,24,59,,,,,
2022/6/16 21:01,23.9,60.2,,,,,
2022/6/16 21:06,23.9,60.9,,,,,
2022/6/16 21:11,24,61.7,,,,,
2022/6/16 21:16,24,62.3,,,,,
2022/6/17 10:13,25,74.6,,,,,
2022/6/17 10:18,25.1,74.6,,,,,
2022/6/17 10:23,25.2,74.4,,,,,
2022/6/17 10:28,25.4,73.9,,,,,
2022/6/17 10:33,25.5,73.6,,,,,
2022/6/17 10:38,25.5,73.2,,,,,
2022/6/17 10:43,25.5,72.5,,,,,
2022/6/17 10:48,25.6,71.6,,,,,
2022/6/17 10:53,25.7,72.8,,,,,
2022/6/17 10:58,25.8,72.5,,,,,
2022/6/17 11:03,25.8,72.3,,,,,
2022/6/17 11:08,25.9,72.3,,,,,
2022/6/17 11:13,25.9,72.4,,,,,
2022/6/17 11:18,26.1,72.5,,,,,
2022/6/17 11:23,26,72.6,,,,,
2022/6/17 11:28,26,73,,,,,
2022/6/17 11:33,26.1,73.1,,,,,
2022/6/17 11:38,26.1,73.1,,,,,
2022/6/17 11:43,26,73.3,,,,,
2022/6/17 11:48,25.9,73.4,,,,,
2022/6/17 11:53,26,72.4,,,,,
2022/6/17 11:58,26,73.2,,,,,
2022/6/17 12:03,26,73,,,,,
2022/6/17 12:08,26.1,73.3,,,,,
2022/6/17 12:13,26,73.4,,,,,
2022/6/17 12:18,26,72.5,,,,,
2022/6/17 12:23,26.1,73.6,,,,,
2022/6/17 12:28,26.2,73.5,,,,,
2022/6/17 12:33,26.1,73.1,,,,,
2022/6/17 12:38,26.1,73.4,,,,,
2022/6/17 12:43,26.2,73.5,,,,,
2022/6/17 12:48,26.1,73.6,,,,,
2022/6/17 12:53,26.3,73.7,,,,,
2022/6/17 12:58,26.2,73.4,,,,,
2022/6/17 13:03,26.3,73.6,,,,,
2022/6/17 13:08,26.2,73.7,,,,,
2022/6/17 13:13,26.1,73.6,,,,,
2022/6/17 13:18,26.2,73.7,,,,,
2022/6/17 13:23,26.1,73.4,,,,,
2022/6/17 13:28,26,73.2,,,,,
2022/6/17 13:33,26,73.4,,,,,
2022/6/17 13:38,25.9,71.8,,,,,
2022/6/17 13:43,25.7,71,,,,,
2022/6/17 13:48,25.6,70.7,,,,,
2022/6/17 13:53,25.7,70.8,,,,,
2022/6/17 13:58,25.7,71.2,,,,,
2022/6/17 14:03,25.7,71.2,,,,,
2022/6/17 14:08,25.6,70.6,,,,,
2022/6/17 14:13,25.6,69.2,,,,,
2022/6/17 14:18,25.5,69.3,,,,,
2022/6/17 14:23,25.6,70.3,,,,,
2022/6/17 14:28,25.7,70.4,,,,,
2022/6/17 14:33,25.7,69.3,,,,,
2022/6/17 14:38,25.5,68.7,,,,,
2022/6/17 14:43,25.3,68.6,,,,,
2022/6/17 14:48,25.4,68,,,,,
2022/6/17 14:53,25.4,67.3,,,,,
2022/6/17 14:58,25.4,66.6,,,,,
2022/6/17 15:03,25.3,66.6,,,,,
2022/6/17 15:08,25.5,66.7,,,,,
2022/6/17 15:13,25.4,66.4,,,,,
2022/6/17 15:18,25.4,63.9,,,,,
2022/6/17 15:23,25.3,65.3,,,,,
2022/6/17 15:28,25.4,65.3,,,,,
2022/6/17 15:35,26.1,61.7,,,,,
2022/6/17 15:40,25.8,62.7,,,,,
2022/6/17 15:45,25.5,61.3,,,,,
2022/6/17 15:50,25.5,63.2,,,,,
2022/6/17 15:55,25.5,61.4,,,,,
2022/6/17 16:00,25.3,61.8,,,,,
2022/6/17 16:05,25.4,62.4,,,,,
2022/6/17 16:10,25.4,61.5,,,,,
2022/6/17 16:15,25.5,61.3,,,,,
2022/6/17 16:20,25.5,61,,,,,
2022/6/17 16:25,25.2,60,,,,,
2022/6/17 16:30,25,60.6,,,,,
2022/6/17 16:35,25.1,61.3,,,,,
2022/6/17 16:40,25.4,60,,,,,
2022/6/17 16:45,25,60.3,,,,,
2022/6/17 16:50,25.2,60.3,,,,,
2022/6/17 16:55,25,60.1,,,,,
2022/6/17 17:00,24.8,60.6,,,,,
2022/6/17 17:05,24.9,59.7,,,,,
2022/6/17 17:10,24.9,59.5,,,,,
2022/6/17 17:15,24.9,59.7,,,,,
2022/6/17 17:20,25.1,59.4,,,,,
2022/6/17 17:25,24.8,59.8,,,,,
2022/6/17 17:30,24.7,58.5,,,,,
2022/6/17 17:35,24.5,59.9,,,,,
2022/6/17 17:40,24.8,59,,,,,
2022/6/17 17:45,24.7,58.3,,,,,
2022/6/17 17:50,24.6,58.3,,,,,
2022/6/17 17:55,24.6,58.8,,,,,
2022/6/17 18:00,24.7,58.6,,,,,
2022/6/17 18:05,24.7,57.9,,,,,
2022/6/17 18:10,24.4,57.8,,,,,
2022/6/17 18:15,24.4,59.1,,,,,
2022/6/17 18:20,24.5,58.2,,,,,
2022/6/17 18:25,24.3,59.2,,,,,
2022/6/17 18:30,24.5,58.9,,,,,
2022/6/17 18:35,24.3,58.7,,,,,
2022/6/17 18:40,24.3,59.5,,,,,
2022/6/17 18:45,24.5,59.1,,,,,
2022/6/17 18:50,24.5,58.9,,,,,
2022/6/17 18:55,24.5,58.3,,,,,
2022/6/17 19:00,24.6,58.2,,,,,
2022/6/17 19:05,24.7,57.2,,,,,
2022/6/17 19:10,24.6,57.5,,,,,
2022/6/17 19:15,24.6,57,,,,,
2022/6/20 10:13,25,72.5,,,,,
2022/6/20 10:18,25,71.4,,,,,
2022/6/20 10:23,24.9,72.1,,,,,
2022/6/20 10:28,24.9,72.7,,,,,
2022/6/20 10:33,24.7,73.3,,,,,
2022/6/20 10:38,24.7,73.6,,,,,
2022/6/20 10:43,24.8,73.8,,,,,
2022/6/20 10:48,24.8,73.6,,,,,
2022/6/20 10:53,24.8,73.8,,,,,
2022/6/20 10:58,24.8,73.9,,,,,
2022/6/20 11:03,24.9,73.8,,,,,
2022/6/20 11:08,25,73.8,,,,,
2022/6/20 11:13,25,73.9,,,,,
2022/6/20 11:18,25,74.1,,,,,
2022/6/20 11:23,25,74.2,,,,,
2022/6/20 11:28,25,74.3,,,,,
2022/6/20 11:33,24.9,74.3,,,,,
2022/6/20 11:38,24.9,73.6,,,,,
2022/6/20 11:43,24.8,73.2,,,,,
2022/6/20 11:48,24.8,72.6,,,,,
2022/6/20 11:53,24.7,71.9,,,,,
2022/6/20 11:58,24.8,71.4,,,,,
2022/6/20 12:03,24.6,70.4,,,,,
2022/6/20 12:08,24.3,70.3,,,,,
2022/6/20 12:13,24.4,70.1,,,,,
2022/6/20 12:18,24.4,69.4,,,,,
2022/6/20 12:23,24.2,70.3,,,,,
2022/6/20 12:28,24.5,69.4,,,,,
2022/6/20 12:33,24.4,69,,,,,
2022/6/20 12:38,24.3,68.9,,,,,
2022/6/20 12:43,24.3,69.1,,,,,
2022/6/20 12:48,24.4,68.4,,,,,
2022/6/20 12:53,24.3,68.5,,,,,
2022/6/20 12:58,24.2,68.3,,,,,
2022/6/20 13:03,24.3,68.1,,,,,
2022/6/20 13:08,24.4,67.7,,,,,
2022/6/20 13:13,24.3,67.8,,,,,
2022/6/20 13:18,24.2,68,,,,,
2022/6/20 13:23,24.3,67.5,,,,,
2022/6/20 13:28,24.4,67,,,,,
2022/6/20 13:33,24.6,66.7,,,,,
2022/6/20 13:38,24.5,66.1,,,,,
2022/6/20 13:43,24.6,66,,,,,
2022/6/20 13:48,24.4,65.2,,,,,
2022/6/20 13:53,24.5,65.6,,,,,
2022/6/20 13:58,24.6,65.1,,,,,
2022/6/20 14:03,24.6,65,,,,,
2022/6/20 14:08,24.4,64.7,,,,,
2022/6/20 14:13,24.4,64.4,,,,,
2022/6/20 14:18,24.5,64.2,,,,,
2022/6/20 14:23,24.5,64.1,,,,,
2022/6/20 14:28,24.6,63.6,,,,,
2022/6/20 14:33,24.6,63.2,,,,,
2022/6/20 14:38,24.7,62.9,,,,,
2022/6/20 14:43,24.7,63,,,,,
2022/6/20 14:48,24.7,62.8,,,,,
2022/6/20 14:53,24.7,62.4,,,,,
2022/6/20 14:58,24.7,62.5,,,,,
2022/6/20 15:03,24.7,62.3,,,,,
2022/6/20 15:08,24.8,62.3,,,,,
2022/6/20 15:13,24.8,61.8,,,,,
2022/6/20 15:18,24.7,61.7,,,,,
2022/6/20 15:23,24.7,61.6,,,,,
2022/6/20 15:28,24.8,62.1,,,,,
2022/6/20 15:33,24.8,62.2,,,,,
2022/6/20 15:38,24.8,61.9,,,,,
2022/6/20 15:43,24.8,61.4,,,,,
2022/6/20 15:48,24.8,61.6,,,,,
2022/6/20 15:53,24.7,61.6,,,,,
2022/6/20 15:58,24.9,61.5,,,,,
2022/6/20 16:03,24.8,61,,,,,
2022/6/20 16:08,24.9,61.1,,,,,
2022/6/20 16:13,24.8,60.8,,,,,
2022/6/20 16:18,24.9,60.5,,,,,
2022/6/20 16:23,24.9,60.5,,,,,
2022/6/20 16:28,24.9,60.5,,,,,
2022/6/20 16:33,24.8,60.3,,,,,
2022/6/20 16:38,24.9,60.2,,,,,
2022/6/20 16:43,25,60,,,,,
2022/6/20 16:48,24.9,59.4,,,,,
2022/6/20 16:53,24.8,59.7,,,,,
2022/6/20 16:58,24.8,60.2,,,,,
2022/6/20 17:03,24.8,60.4,,,,,
2022/6/20 17:08,24.8,60.5,,,,,
2022/6/20 17:13,24.8,60.3,,,,,
2022/6/20 17:18,24.8,60,,,,,
2022/6/20 17:23,24.9,59.9,,,,,
2022/6/20 17:28,25,60.9,,,,,
2022/6/20 17:33,25.1,61.2,,,,,
2022/6/20 17:38,24.9,62.4,,,,,
2022/6/20 17:43,25.6,61.1,,,,,
2022/6/20 17:48,25.4,61.9,,,,,
2022/6/20 17:53,25.4,62.1,,,,,
2022/6/20 17:58,25.3,62.4,,,,,
2022/6/20 18:03,25.4,62.8,,,,,
2022/6/20 18:08,25.3,63.4,,,,,
2022/6/20 18:13,25.4,63.9,,,,,
2022/6/20 18:18,25.4,63.9,,,,,
2022/6/20 18:23,25.4,64.5,,,,,
2022/6/20 18:28,25.4,65.1,,,,,
2022/6/20 18:33,25.3,65.4,,,,,
2022/6/20 18:38,25.3,65.4,,,,,
2022/6/20 18:43,25.4,65.3,,,,,
2022/6/20 18:48,25.4,65.5,,,,,
2022/6/20 18:53,25.3,66.4,,,,,
2022/6/20 18:58,25.4,67.1,,,,,
2022/6/20 19:03,25.4,67.3,,,,,
2022/6/20 19:08,25.3,67.5,,,,,
2022/6/20 19:13,25.4,67.8,,,,,
2022/6/20 19:18,25.3,68.3,,,,,
2022/6/20 19:23,25.4,68.6,,,,,
2022/6/20 19:28,25.3,69.3,,,,,
2022/6/20 19:33,25.3,70,,,,,
2022/6/20 19:38,25.2,70.5,,,,,
2022/6/20 19:43,25.4,71.2,,,,,
2022/6/20 19:48,25.3,71.4,,,,,
2022/6/20 19:53,25.3,71.9,,,,,
2022/6/20 19:58,25.2,72.4,,,,,
2022/6/20 20:03,25.3,72.7,,,,,
2022/6/20 20:08,25.3,73.1,,,,,
2022/6/20 20:13,25.2,73.1,,,,,
2022/6/20 20:18,25.2,73.4,,,,,
2022/6/20 20:23,25.1,73.7,,,,,
2022/6/20 20:28,25.2,73.5,,,,,
2022/6/20 20:33,25.2,73.4,,,,,
2022/6/20 20:38,25.3,73.4,,,,,
2022/6/20 20:43,25.2,73.3,,,,,
2022/6/20 20:48,25.2,73.5,,,,,
2022/6/20 20:53,25.2,73.6,,,,,
2022/6/20 20:58,25.2,73.5,,,,,
2022/6/20 21:03,25.2,73.2,,,,,
2022/6/20 21:08,25.2,73.3,,,,,
2022/6/20 21:13,25.1,73.2,,,,,
2022/6/20 21:18,25.2,73,,,,,
2022/6/20 21:23,25.2,72.9,,,,,
2022/6/20 21:28,25.1,72.9,,,,,
2022/6/20 21:33,25.2,72.8,,,,,
2022/6/20 21:38,25.2,72.6,,,,,
2022/6/20 21:43,25.2,72.5,,,,,
2022/6/20 21:48,25.2,72.4,,,,,
2022/6/21 10:30,26.1,69.6,,,,,
2022/6/21 10:35,26.1,70.4,,,,,
2022/6/21 10:40,26.1,70.2,,,,,
2022/6/21 10:45,26.2,70.2,,,,,
2022/6/21 10:50,26.2,70.9,,,,,
2022/6/21 10:55,26.2,70.5,,,,,
2022/6/21 11:00,26.2,70.8,,,,,
2022/6/21 11:05,26.2,71,,,,,
2022/6/21 11:10,26.2,71,,,,,
2022/6/21 11:15,26.1,71.5,,,,,
2022/6/21 11:20,26.1,71.8,,,,,
2022/6/21 11:25,26.2,71.9,,,,,
2022/6/21 11:30,26.3,72.2,,,,,
2022/6/21 11:35,26.2,72.3,,,,,
2022/6/21 11:40,26.2,71.9,,,,,
2022/6/21 11:45,26.2,72,,,,,
2022/6/21 11:50,26.3,72.1,,,,,
2022/6/21 11:55,26.2,72,,,,,
2022/6/21 12:00,26.1,71.5,,,,,
2022/6/21 12:05,26.2,71.4,,,,,
2022/6/21 12:10,26.2,71.8,,,,,
2022/6/21 12:15,26.3,71.6,,,,,
2022/6/21 12:20,26.3,70.8,,,,,
2022/6/21 12:25,26.3,69.5,,,,,
2022/6/21 12:30,26.4,70.5,,,,,
2022/6/21 12:35,26.5,70.3,,,,,
2022/6/21 12:40,26.4,70.6,,,,,
2022/6/21 12:45,26.4,69.3,,,,,
2022/6/21 12:50,26.2,69.3,,,,,
2022/6/21 12:55,26.2,67.4,,,,,
2022/6/21 13:00,26.1,67,,,,,
2022/6/21 13:05,26,66.8,,,,,
2022/6/21 13:10,25.9,65.7,,,,,
2022/6/21 13:15,25.9,65.2,,,,,
2022/6/21 13:20,26.1,64.6,,,,,
2022/6/21 13:25,25.8,63.2,,,,,
2022/6/21 13:30,25.8,62.6,,,,,
2022/6/21 13:35,25.7,61.9,,,,,
2022/6/21 13:40,25.8,61.9,,,,,
2022/6/21 13:45,25.8,61.1,,,,,
2022/6/21 13:47,25.8,62.8,,,,,
2022/6/21 13:52,25.6,60.5,,,,,
2022/6/21 13:57,25.6,60.7,,,,,
2022/6/21 14:02,25.7,61.9,,,,,
2022/6/21 14:07,25.8,62.2,,,,,
2022/6/21 14:12,25.7,61.9,,,,,
2022/6/21 14:17,25.7,61.1,,,,,
2022/6/21 14:22,25.7,61.8,,,,,
2022/6/21 14:27,25.8,62.2,,,,,
2022/6/21 14:32,25.8,61.7,,,,,
2022/6/21 14:37,25.5,61.1,,,,,
2022/6/21 14:42,25.6,62,,,,,
2022/6/21 14:47,25.8,62,,,,,
2022/6/21 14:52,25.7,61.6,,,,,
2022/6/21 14:57,25.8,61.6,,,,,
2022/6/21 15:02,25.7,61.3,,,,,
2022/6/21 15:07,25.7,61.7,,,,,
2022/6/21 15:12,25.8,60.5,,,,,
2022/6/21 15:17,25.7,60.4,,,,,
2022/6/21 15:22,25.6,60.1,,,,,
2022/6/21 15:27,25.6,60.1,,,,,
2022/6/21 15:32,25.7,60.9,,,,,
2022/6/21 15:37,25.7,60.3,,,,,
2022/6/21 15:42,25.6,60.4,,,,,
2022/6/21 15:47,25.7,60.5,,,,,
2022/6/21 15:52,25.7,59.9,,,,,
2022/6/21 15:57,25.7,59.8,,,,,
2022/6/21 16:02,25.7,60.9,,,,,
2022/6/21 16:07,25.8,60.9,,,,,
2022/6/21 16:12,25.8,61.4,,,,,
2022/6/21 16:17,25.8,61.5,,,,,
2022/6/21 16:22,25.8,62,,,,,
2022/6/21 16:27,25.9,63.4,,,,,
2022/6/21 16:32,25.9,64.4,,,,,
2022/6/21 16:37,25.9,64.2,,,,,
2022/6/21 16:42,26,66.4,,,,,
2022/6/21 16:47,26,68.3,,,,,
2022/6/21 16:52,26,68.6,,,,,
2022/6/21 16:57,26.1,69.1,,,,,
2022/6/21 17:02,26.1,70,,,,,
2022/6/21 17:07,26,69.8,,,,,
2022/6/21 17:12,26.1,69.8,,,,,
2022/6/21 17:17,25.9,69.1,,,,,
2022/6/21 17:22,25.9,67.8,,,,,
2022/6/21 17:27,25.8,68.6,,,,,
2022/6/21 17:32,25.8,67.7,,,,,
2022/6/21 17:37,25.8,67.2,,,,,
2022/6/21 17:42,25.8,66.4,,,,,
2022/6/21 17:47,25.8,67.4,,,,,
2022/6/21 17:52,25.8,67.6,,,,,
2022/6/21 17:57,25.9,67.5,,,,,
2022/6/21 18:02,25.8,67.6,,,,,
2022/6/21 18:07,25.8,68.7,,,,,
2022/6/21 18:12,25.8,70,,,,,
2022/6/21 18:17,25.8,69.9,,,,,
2022/6/21 18:22,25.8,69.3,,,,,
2022/6/21 18:27,25.9,69.8,,,,,
2022/6/21 18:32,25.9,69.6,,,,,
2022/6/21 18:37,25.8,69.7,,,,,
2022/6/21 18:42,25.8,69.7,,,,,
2022/6/21 18:47,25.9,70.3,,,,,
2022/6/21 18:52,25.8,70.7,,,,,
2022/6/21 18:57,26,71.5,,,,,
2022/6/21 19:02,25.8,71,,,,,
2022/6/21 19:07,25.9,72.5,,,,,
2022/6/21 19:12,25.8,71.2,,,,,
2022/6/21 19:17,25.9,73.6,,,,,
2022/6/21 19:22,26.1,73.3,,,,,
2022/6/21 19:27,25.9,74.5,,,,,
2022/6/21 19:32,26.1,75.6,,,,,
2022/6/21 19:37,25.9,76.1,,,,,
2022/6/21 19:42,26,76.1,,,,,
2022/6/21 19:47,25.9,76.5,,,,,
2022/6/21 19:52,26,76.7,,,,,
2022/6/21 19:57,26.1,77,,,,,
2022/6/21 20:02,26.1,76.9,,,,,
2022/6/21 20:07,26,76.7,,,,,
2022/6/21 20:12,26,77,,,,,
2022/6/21 20:17,26,76.5,,,,,
2022/6/21 20:22,25.9,75.9,,,,,
2022/6/21 20:27,25.8,74.7,,,,,
2022/6/21 20:32,25.7,73.3,,,,,
2022/6/21 20:37,25.7,72.4,,,,,
2022/6/21 20:42,25.7,72.6,,,,,
2022/6/21 20:47,25.7,70.6,,,,,
2022/6/21 20:52,25.6,70.8,,,,,
2022/6/21 20:57,25.6,70.2,,,,,
2022/6/21 21:02,25.6,70.2,,,,,
2022/6/21 21:07,25.5,68.5,,,,,
2022/6/21 21:12,25.6,67.9,,,,,
2022/6/21 21:17,25.5,68.9,,,,,
2022/6/21 21:22,25.7,69.4,,,,,
2022/6/21 21:27,25.7,68.9,,,,,
2022/6/21 21:32,25.7,69,,,,,
2022/6/21 21:37,25.8,68.6,,,,,
2022/6/21 21:42,25.6,68.8,,,,,
2022/6/21 21:47,25.9,69.2,,,,,
2022/6/21 21:52,25.8,69.1,,,,,
2022/6/21 21:57,25.8,69.4,,,,,
2022/6/21 22:02,25.8,69.6,,,,,
2022/6/21 22:07,25.7,69.6,,,,,
2022/6/22 10:35,26.8,75.9,,,,,
2022/6/22 10:40,27,76,,,,,
2022/6/22 10:45,27,76.3,,,,,
2022/6/22 10:50,27,76.8,,,,,
2022/6/22 10:55,27,77.3,,,,,
2022/6/22 11:00,27.1,77.7,,,,,
